Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000B0n3Dm2I5sqX4O10eS,01/12/2025,02:10:00,overdraft,,,General,-0.31,GBP,-0.31,GBP,This is the charge for your November 2025 overdraft,,,November overdraft fees,,-0.31,
tx_0000B0n7EgfBxDGYFBTc4C,01/12/2025,02:54:59,Pot transfer,Money Pot,,Transfers,20.00,GBP,20.00,GBP,,,,,,,20.00
tx_0000B0n9q74OwBbxRtPI0n,01/12/2025,03:24:09,Pot transfer,Bills Pot,,Transfers,23.68,GBP,23.68,GBP,,,,,,,23.68
tx_0000B0n9q7Qjb9TYZ9r7p5,01/12/2025,03:24:10,Direct Debit,O2,,Bills,-23.68,GBP,-23.68,GBP,D20535255,,,D20535255,,-23.68,
tx_0000B0nDCpboK7z4Ap5NI1,01/12/2025,04:01:37,Direct Debit,Thames Water,,Bills,-69.00,GBP,-69.00,GBP,900092499220,,,900092499220,,-69.00,
tx_0000B0nDIj1diHusp86hG8,01/12/2025,04:02:57,Pot transfer,Investments Pot,,Transfers,1000.00,GBP,1000.00,GBP,,,,,,,1000.00
tx_0000B0nDIjL8XnYyuX4Ytt,01/12/2025,04:02:57,Direct Debit,Fidelity,,Bills,-1000.00,GBP,-1000.00,GBP,AS10162900,,,AS10162900,,-1000.00,
tx_0000B0nGFMcgqe6GKeb4s6,01/12/2025,04:35:57,Direct Debit,Octopus Energy,,Bills,-138.23,GBP,-138.23,GBP,J2SSTZW,,,J2SSTZW,,-138.23,
tx_0000B0nGZRmfMzyaa1hOIF,01/12/2025,04:39:35,Pot transfer,My Bills Pot,,Transfers,160.83,GBP,160.83,GBP,,,,,,,160.83
tx_0000B0nGZS9M0dAeXfK8P6,01/12/2025,04:39:35,Direct Debit,Tabeo,,Bills,-160.83,GBP,-160.83,GBP,S8E6B4B-796040-SMI,,,S8E6B4B-796040-SMI,,-160.83,
tx_0000B0na6IkFtZdJifHoUk,01/12/2025,08:18:25,Bank transfer,Joseph Buckett,,Income,912.60,GBP,912.60,GBP,Rent,,,Rent,,,912.60
tx_0000B0na8LXYTRlG5EbylO,01/12/2025,08:18:47,Pot transfer,Rent Pot,,Transfers,-912.60,GBP,-912.60,GBP,,,,,,-912.60,
tx_0000B0na9BHO6ndFvsBgkE,01/12/2025,08:18:56,Monzo-to-Monzo,Joseph Buckett,,General,69.07,GBP,69.07,GBP,,,,,,,69.07
tx_0000B0nb2fpMEZAwem23xx,01/12/2025,08:28:58,Monzo-to-Monzo,Michael Degroot,,General,35.95,GBP,35.95,GBP,,,,,,,35.95
tx_0000B0nb3oHoGlThna61Fh,01/12/2025,08:29:10,Monzo-to-Monzo,Michael Degroot,,General,69.07,GBP,69.07,GBP,,,,,,,69.07
tx_0000B0o5OqMqivCpP8UGu1,01/12/2025,14:09:07,Card payment,Kineya,🍜,Eating out,-13.50,GBP,-13.50,GBP,,,,Kineya Mugimaru        London        GBR,,-13.50,
tx_0000B0o8wXgez1WhCKIf5u,01/12/2025,14:48:49,Pot transfer,Food  Pot,,Transfers,100.00,GBP,100.00,GBP,,,,,,,100.00
tx_0000B0oBvxiF2FWkVNbsDS,01/12/2025,15:22:20,Pot transfer,Rent Pot,,Transfers,2981.94,GBP,2981.94,GBP,,,,,,,2981.94
tx_0000B0oC6PaWFYNdr4yr8z,01/12/2025,15:24:13,Faster payment,Joe Crosby,,General,-2809.59,GBP,-2809.59,GBP,Joe Crosby,,,Joe Crosby,,-2809.59,
tx_0000B0oWsO1VMw7eO3YCby,01/12/2025,19:17:00,Card payment,Uber Eats,🍽,Eating out,-15.82,GBP,-15.82,GBP,,Aldgate Tower First Floor,,UBER   * EATS PENDING  London        GBR,,-15.82,
tx_0000B0oWvRcaRoNTE6OyMW,01/12/2025,19:17:33,Pot transfer,Savings Pot,,Savings,-160.00,GBP,-160.00,GBP,,,,,,-160.00,
tx_0000B0oWwM6eRECvZ3kVOM,01/12/2025,19:17:43,Pot transfer,Savings Pot,,Savings,-30.69,GBP,-30.69,GBP,,,,,,-30.69,
tx_0000B0og50Gdu2m6F3GnSc,01/12/2025,21:00:07,Card payment,Uber Eats,🍽,Eating out,-17.22,GBP,-17.22,GBP,,Aldgate Tower First Floor,,UBER   *EATS           London        GBR,,-17.22,
tx_0000B0og5BHkwF0NfWNRJL,01/12/2025,21:00:09,Card payment,Uber Eats,🍽,Eating out,15.82,GBP,15.82,GBP,,Aldgate Tower First Floor,,UBER   * EATS PENDING  London        GBR,,,15.82
tx_0000B0ohJk7GKqrmbrIvAH,01/12/2025,21:13:59,Card payment,Ocado,🛒💻,Groceries,-92.44,GBP,-92.44,GBP,,,,Ocado                  0345 656 1234 GBR,,-92.44,
